brand,model,screen_size,ram,storage,cpu_model,operating_system,price,rating,review_count,graphic
Lenovo,IdeaPad Slim,15.0,16,512,Intel Core i7,‎Windows 11 Home,66690.0,4.0,821,Integrated
XPAC RAMON,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,499.0,4.0,1,Integrated
XPAC RAMON,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,499.0,4.0,1,Integrated
Apple,"13-inch MacBook Air (M4, 2025)",13.6,16,512,Apple M4,Windows 11 Home,99900.0,4.0,1,Integrated
MSI,Thin 15,15.748031496062993,8,512,Core i5,‎Windows 11 Home,52990.0,2.5,5,Dedicated
HP,HP Laptop,15.590551181102363,8,512,Core i3,‎Windows 11 Home,39250.0,4.1,1936,Integrated
HP,HP ZBook Firefly 16 inch G11 Mobile Workstation PC,40.6,32,1024,Intel Core Ultra 7,‎Windows 11 Professional,142000.0,5.0,1,Integrated
Lenovo,LOQ,15.6,16,512,Ryzen 7,‎Windows 11 Home,91690.0,4.2,31,Dedicated
Lenovo,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,299.0,4.3,12714,Integrated
HP,IdeaPad,14.0,32,1024,Core i7,‎Windows 11 Home,144500.0,4.0,9,Integrated
EDNITA,IdeaPad,0.0,16,512,Intel Core i5,Windows 11 Home,198.0,4.2,126,Integrated
Microsoft,Surface Laptop,13.8,16,512,Snapdragon,‎Windows 11 Home,131990.0,5.0,3,Integrated
HP,HP Laptop,15.6,16,512,Core i5,‎Windows 11 Home,57990.0,3.8,122,Integrated
Lenovo,LOQ,15.6,16,512,Intel Core i5,‎Windows 11,78190.0,4.0,257,Dedicated
Lenovo,IdeaPad,14.0,16,512,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
