,brand,model,screen_size,ram,storage,cpu_model,operating_system,price,rating,review_count,graphic
83,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
84,HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,‎Windows 11 Home,52990.0,3.9,370,Integrated
85,Lenovo,IdeaPad Slim,15 Inches,16 GB,512 GB,Intel Core i7,‎Windows 11 Home,66690.0,4.0,821,Integrated
86,XPAC RAMON,No model,No screen size,No RAM,No storage,No CPU model,No operating system,499.0,-1.0,No review count,Integrated
87,XPAC RAMON,No model,No screen size,No RAM,No storage,No CPU model,No operating system,499.0,-1.0,No review count,Integrated
88,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,16 GB,No storage,Apple M4,No operating system,99900.0,-1.0,No review count,Integrated
89,MSI,Thin 15,40 Centimetres,8 GB,No storage,Core i5,‎Windows 11 Home,52990.0,2.5,5,Dedicated
90,HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Core i3,‎Windows 11 Home,39250.0,4.1,1936,Integrated
91,HP,HP ZBook Firefly 16 inch G11 Mobile Workstation PC,40.6,32 GB,1 TB,Intel Core Ultra 7,‎Windows 11 Professional,142000.0,5.0,1,Integrated
92,Lenovo,LOQ,15.6 Inches,,512 GB,Ryzen 7,‎Windows 11 Home,91690.0,4.2,31,Dedicated
93,No brand,No model,No screen size,No RAM,No storage,No CPU model,No operating system,299.0,4.3,12714,Integrated
94,HP,No model,14 Inches,32 GB,1 TB,Core i7,‎Windows 11 Home,144500.0,4.0,9,Integrated
95,EDNITA,No model,No screen size,No RAM,No storage,No CPU model,No operating system,198.0,4.2,126,Integrated
96,Microsoft,Surface Laptop,13.8 Inches,16 GB,512 GB,Snapdragon,‎Windows 11 Home,131990.0,5.0,3,Integrated
97,HP,HP Laptop,15.6 Inches,16 GB,512 GB,Core i5,‎Windows 11 Home,57990.0,3.8,122,Integrated
98,Lenovo,LOQ,15.6 Inches,16 GB,512 GB,Intel Core i5,‎Windows 11,78190.0,4.0,257,Dedicated
99,Lenovo,IdeaPad,14 Inches,,512 GB,Intel Core i5,‎Windows 11 Home,52390.0,3.9,488,Integrated
